,BU,Machine_Type,Serial_number,Unused_machines_J1,Unused_machines_UNP,Unused_machines_PL,OEE,OEE-J1,OEE-J1-H1-G+G6,Availability,Performance,Planned_Downtime%,Unplanned_Downtime%,Performance_losses,Batch_size,Setuptime/min,Waitingtime/min,Quantity/h,Quantity,Avg_length/mm,ShiftTime/h,Netto_StandardTime/h,Downtime/h,Dw_J1,Planned_Downtime/h,Unplanned_Downtime/h,Urgent_Orders(A16)%,Disciplinary_responsible_vs_Shifthours,Not_disciplinary_responsible_vs_Shifthours,No_Orders,Scrap/m,Scrap%,Avg_No_Machines,Somme de Dw_B,shift,Day,Month,Year,Date
10,BU 2,Machine 3,483D5938,0.07,0.27,0.29,31.41,33.81,33.98,60.25,52.14,13.0,26.75,28.84,378,11.12,11.59,237,1892,2245.79,8.0,2.51,3.18,0.57,1.04,2.14,0.0,12.83,7.77,5,50.965,1.37,5.0,0.060834,1,7,7,2017,2017-07-07
11,BU 2,Machine 2,5392175,0.0,0.29,0.21,21.19,21.19,22.25,42.33,50.06,28.94,28.73,21.14,590,12.63,4.26,664,5314,2007.36,8.0,1.7,4.61,0.0,2.32,2.3,11.11,24.35,4.88,9,25.205,0.28,11.0,0.569445,1,7,7,2017,2017-07-07
12,BU 2,Machine 2,6798354,0.01,0.35,0.15,22.61,22.82,23.0,37.74,59.91,27.71,34.56,15.13,600,13.24,2.9,675,5397,1471.59,8.0,1.81,4.98,0.07,2.22,2.76,11.11,27.94,7.82,9,29.945,0.33,11.0,1.323611,1,7,7,2017,2017-07-07
13,BU 2,Machine 2,7481923,0.01,0.28,0.19,27.34,27.6,27.66,46.73,58.51,24.85,28.42,19.39,560,7.95,3.49,910,7283,1773.89,8.0,2.19,4.26,0.07,1.99,2.27,0.0,27.29,3.33,13,300.845,2.44,11.0,0.5725,1,7,7,2017,2017-07-07
14,BU 2,Machine 2,1047583,0.0,0.27,0.24,30.05,30.05,30.15,53.85,55.8,19.18,26.97,23.8,688,5.03,3.41,1203,9625,1175.46,8.0,2.4,3.69,0.0,1.53,2.16,7.14,25.27,6.14,14,51.955,0.43,11.0,0.664722,1,7,7,2017,2017-07-07
15,BU 2,Machine 2,2938745,0.0,0.25,0.11,42.52,42.52,42.7,53.85,78.96,21.42,24.73,11.33,523,4.7,4.51,1242,9937,1602.26,8.0,3.4,3.69,0.0,1.71,1.98,0.0,21.22,6.2,19,17.175,0.09,11.0,0.146667,1,7,7,2017,2017-07-07
16,BU 2,Machine 2,8362719,0.0,0.07,0.12,38.62,38.62,38.66,50.43,76.59,42.41,7.16,11.8,844,12.61,2.59,1267,10132,1019.45,8.0,3.09,3.97,0.0,3.39,0.57,8.33,7.16,10.81,12,4.345,0.05,11.0,0.0,1,7,7,2017,2017-07-07
17,BU 2,Machine 2,5849321,0.02,0.17,0.29,33.08,33.81,33.83,62.32,53.08,20.62,17.06,29.24,562,6.82,1.52,914,7310,1982.50,8.0,2.65,3.01,0.17,1.65,1.36,7.69,11.2,5.78,13,0.0,0.00,11.0,0.074166,1,7,7,2017,2017-07-07
18,BU 2,Machine 2,2948567,0.0,0.26,0.07,39.43,39.43,43.62,46.29,85.18,27.82,25.89,6.86,1075,8.32,6.67,1210,9678,2227.48,8.0,3.15,4.3,0.0,2.23,2.07,0.0,15.03,23.06,9,13.045,0.05,11.0,0.100556,1,7,7,2017,2017-07-07
19,BU 2,Machine 2,3928471,0.0,0.09,0.19,38.62,38.62,40.84,57.42,67.26,33.72,8.86,18.8,618,7.72,0.23,1081,8645,2458.28,8.0,3.09,3.41,0.0,2.7,0.71,0.0,5.17,9.5,14,72.94,0.59,11.0,0.280002,1,7,7,2017,2017-07-07
20,BU 2,Machine 2,1749536,0.0,0.19,0.16,19.41,19.44,20.73,35.55,54.6,45.04,19.41,16.14,435,11.31,4.08,707,5659,572.20,8.0,1.55,5.16,0.01,3.6,1.55,7.69,14.73,12.68,13,25.875,1.01,11.0,0.026944,1,7,7,2017,2017-07-07
21,BU 2,Machine 2,3826197,0.08,0.21,0.28,28.23,30.54,30.57,56.22,50.22,22.37,21.41,27.98,782,9.76,4.51,1075,8601,1454.07,8.0,2.26,3.5,0.6,1.79,1.71,0.0,13.77,0.0,11,3.69,0.01,11.0,0.130555,1,7,7,2017,2017-07-07
22,BU 3,Machine 4,4027589,0.0,0.22,0.21,25.38,25.38,26.72,46.05,55.11,31.85,22.1,20.67,1092,26.71,9.98,683,5462,685.79,8.0,2.03,4.32,0.0,2.55,1.77,40.0,12.47,8.65,5,14.93,0.37,1.0,0.125277,1,7,7,2017,2017-07-07
23,BU 3,Machine 5,2938745,0.0,0.23,0.2,40.15,40.15,42.18,59.65,67.3,17.83,22.52,19.5,1432,10.08,4.61,895,7162,686.46,8.0,3.21,3.23,0.0,1.43,1.8,40.0,8.52,16.5,5,36.776,0.81,2.0,0.081389,1,7,7,2017,2017-07-07
24,BU 3,Machine 5,8374621,0.0,0.47,0.18,14.74,14.74,28.96,32.42,45.48,20.95,46.64,17.67,1254,22.51,10.26,313,2507,686.88,8.0,1.18,5.41,0.0,1.68,3.73,50.0,5.97,1.9,2,7.38,0.48,2.0,0.135556,1,7,7,2017,2017-07-07
25,BU 1,Machine 1,8492371,0.11,0.28,0.29,20.32,22.86,22.92,49.76,40.84,22.43,27.81,29.44,400,10.49,0.59,450,3602,1388.09,8.0,1.63,4.02,0.89,1.79,2.22,11.11,4.09,15.39,9,0.0,0.00,4.0,0.0,2,7,7,2017,2017-07-07
26,BU 1,Machine 1,5816492,0.13,0.18,0.31,28.09,32.46,32.46,58.62,47.92,23.28,18.1,30.53,264,6.32,0.0,528,4223,1452.65,8.0,2.25,3.31,1.08,1.86,1.45,0.0,3.8,3.06,16,10.66,0.21,4.0,0.060556,2,7,7,2017,2017-07-07
27,BU 1,Machine 1,0923745,0.04,0.09,0.18,36.82,38.39,38.49,54.66,67.36,36.23,9.11,17.84,377,9.81,0.0,753,6025,975.22,8.0,2.95,3.63,0.33,2.9,0.73,0.0,4.76,3.28,16,0.0,0.00,4.0,0.0,2,7,7,2017,2017-07-07
28,BU 1,Machine 1,7618349,0.05,0.1,0.09,49.01,51.76,54.53,58.05,84.43,31.66,10.3,9.04,307,5.56,0.22,921,7370,1445.45,8.0,3.92,3.36,0.42,2.53,0.82,4.17,1.19,6.71,24,7.942,0.05,4.0,0.0,2,7,7,2017,2017-07-07
29,BU 1,Machine 2,2359173,0.16,0.17,0.21,24.4,29.14,29.36,45.28,53.89,37.46,17.25,20.88,309,8.08,0.0,773,6183,930.99,8.0,1.95,4.38,1.3,3.0,1.38,0.0,0.37,3.78,20,0.0,0.00,1.0,0.029722,2,7,7,2017,2017-07-07
30,BU 2,Machine 1,1903845,0.01,0.19,0.28,20.31,20.5,20.99,48.62,41.77,32.1,19.28,28.31,535,12.8,0.14,669,5351,1924.33,8.0,1.62,4.11,0.08,2.57,1.54,20.0,2.52,18.97,10,35.23,0.34,1.0,0.0,2,7,7,2017,2017-07-07
31,BU 2,Machine 3,093K8347,0.02,0.24,0.2,41.33,42.12,42.57,61.06,67.68,15.2,23.74,19.74,404,8.09,10.69,353,2827,1203.58,8.0,3.31,3.11,0.15,1.22,1.9,14.29,20.31,3.91,7,12.085,0.28,5.0,0.038055,2,7,7,2017,2017-07-07
32,BU 2,Machine 3,573N6493,0.0,0.01,0.15,38.85,38.85,38.85,54.25,71.61,45.06,0.7,15.4,434,42.07,0.21,217,1734,3218.73,8.0,3.11,3.66,0.0,3.6,0.06,0.0,0.7,10.0,4,0.0,0.00,5.0,0.020833,2,7,7,2017,2017-07-07
33,BU 2,Machine 3,029P3751,0.0,0.2,0.2,34.23,34.25,36.46,54.6,62.69,25.55,19.86,20.37,443,25.59,15.36,222,1773,1596.24,8.0,2.74,3.63,0.0,2.04,1.59,25.0,17.7,0.26,4,13.185,0.45,5.0,0.228056,2,7,7,2017,2017-07-07
34,BU 2,Machine 3,182L4692,0.0,0.2,0.29,27.05,27.05,27.75,55.63,48.62,24.65,19.72,28.58,325,24.14,22.17,163,1301,2443.07,8.0,2.16,3.55,0.0,1.97,1.58,50.0,18.59,3.14,4,32.23,1.00,5.0,0.009722,2,7,7,2017,2017-07-07
35,BU 2,Machine 3,483D5938,0.07,0.2,0.26,45.69,48.86,48.86,71.74,63.68,8.26,20.0,26.06,840,13.01,20.96,315,2521,2548.40,8.0,3.65,2.26,0.52,0.66,1.6,33.33,13.1,0.52,3,0.0,0.00,5.0,0.0,2,7,7,2017,2017-07-07
36,BU 2,Machine 2,5392175,0.0,0.1,0.16,35.71,35.74,35.74,51.41,69.46,38.32,10.27,15.7,581,7.64,1.82,1308,10466,1493.40,8.0,2.86,3.89,0.01,3.07,0.82,0.0,8.2,11.65,18,61.705,0.37,11.0,0.057223,2,7,7,2017,2017-07-07
37,BU 2,Machine 2,6798354,0.0,0.23,0.13,30.11,30.11,31.9,43.07,69.91,34.04,22.9,12.96,581,8.48,1.91,944,7552,1507.22,8.0,2.41,4.55,0.0,2.72,1.83,15.38,16.26,12.08,13,18.155,0.12,11.0,0.325277,2,7,7,2017,2017-07-07
38,BU 2,Machine 2,7481923,0.0,0.27,0.21,30.49,30.49,30.65,51.58,59.1,21.26,27.15,21.1,588,4.59,5.29,1102,8819,1744.49,8.0,2.44,3.87,0.0,1.7,2.17,6.67,18.5,15.07,15,45.16,0.27,11.0,0.0,2,7,7,2017,2017-07-07
39,BU 2,Machine 2,1047583,0.0,0.18,0.27,31.95,31.95,32.09,58.93,54.22,22.93,18.14,26.98,576,5.73,3.35,1007,8058,2622.55,8.0,2.56,3.29,0.0,1.83,1.45,7.14,17.5,6.44,14,69.475,0.45,11.0,0.561112,2,7,7,2017,2017-07-07
40,BU 2,Machine 2,2938745,0.0,0.13,0.09,38.65,38.65,40.09,47.88,80.72,39.19,12.93,9.23,393,7.18,1.14,983,7862,3064.43,8.0,3.09,4.17,0.0,3.14,1.03,15.0,12.34,6.28,20,278.135,0.92,11.0,0.0,2,7,7,2017,2017-07-07
41,BU 2,Machine 2,8362719,0.0,0.16,0.17,37.8,37.8,38.31,55.12,68.58,29.29,15.59,17.32,739,2.29,3.4,1293,10340,1706.53,8.0,3.02,3.59,0.0,2.34,1.25,0.0,11.85,26.32,14,94.24,0.44,11.0,0.153333,2,7,7,2017,2017-07-07
42,BU 2,Machine 2,5849321,0.01,0.3,0.21,24.12,24.27,25.15,45.51,53.01,24.99,29.5,21.38,545,5.81,7.02,886,7086,1418.70,8.0,1.93,4.36,0.05,2.0,2.36,15.38,23.36,13.94,13,0.0,0.00,11.0,0.14361,2,7,7,2017,2017-07-07
43,BU 2,Machine 2,2948567,0.01,0.08,0.21,32.18,32.36,33.84,53.26,60.43,39.15,7.6,21.07,697,6.86,1.78,1308,10461,971.56,8.0,2.57,3.74,0.04,3.13,0.61,26.67,6.66,15.47,15,14.345,0.13,11.0,0.0,2,7,7,2017,2017-07-07
44,BU 2,Machine 2,3928471,0.0,0.15,0.17,38.94,38.94,39.57,56.07,69.45,28.75,15.17,17.13,686,6.43,3.68,1371,10969,1661.37,8.0,3.12,3.51,0.0,2.3,1.21,12.5,15.11,6.06,16,129.485,0.60,11.0,0.0,2,7,7,2017,2017-07-07
45,BU 2,Machine 2,1749536,0.0,0.21,0.26,29.43,29.55,32.34,55.16,53.36,24.3,20.54,25.73,675,5.37,4.11,928,7424,2655.20,8.0,2.35,3.59,0.03,1.94,1.64,27.27,16.3,8.88,11,284.03,0.85,11.0,0.0,2,7,7,2017,2017-07-07
46,BU 2,Machine 2,3826197,0.01,0.23,0.21,42.96,43.25,45.53,63.77,67.36,13.52,22.7,20.81,812,1.45,2.94,1725,13801,1209.64,8.0,3.44,2.9,0.05,1.08,1.82,11.76,16.62,11.38,17,14.595,0.15,11.0,0.275278,2,7,7,2017,2017-07-07
47,BU 3,Machine 4,4027589,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0.0,0.0,0,0,#DIV/0!,8.0,,8.0,0.0,0.0,8.0,0.0,0.0,100.0,0,,#DIV/0!,1.0,0.0,2,7,7,2017,2017-07-07
48,BU 3,Machine 5,2938745,0.0,0.21,0.14,43.98,43.98,49.77,58.42,75.29,20.66,20.92,14.44,1401,7.89,7.85,875,7003,713.15,8.0,3.52,3.33,0.0,1.65,1.67,0.0,17.91,3.82,5,19.444,0.33,2.0,0.778334,2,7,7,2017,2017-07-07
49,BU 3,Machine 5,8374621,0.36,0.67,0.12,17.07,26.55,28.26,28.75,59.38,4.05,67.21,11.68,1067,6.47,0.0,400,3202,553.81,8.0,1.37,5.7,2.86,0.32,5.38,0.0,12.7,14.9,3,6.16,0.34,2.0,0.64,2,7,7,2017,2017-07-07
50,BU 1,Machine 1,8492371,0.02,0.15,0.19,30.21,30.69,32.92,49.32,61.26,35.37,15.31,19.1,196,4.79,0.3,710,5681,1395.80,8.0,2.42,4.05,0.13,2.83,1.23,6.9,7.48,6.03,29,0.0,0.00,4.0,0.453336,3,7,7,2017,2017-07-07
51,BU 1,Machine 1,5816492,0.0,0.25,0.16,16.22,16.29,16.82,31.96,50.75,43.18,24.86,15.74,129,9.42,0.12,354,2831,1169.61,8.0,1.3,5.44,0.04,3.45,1.99,0.0,21.03,0.78,22,8.21,0.28,4.0,1.638611,3,7,7,2017,2017-07-07
52,BU 1,Machine 1,0923745,0.0,0.12,0.14,30.52,30.59,32.54,44.25,68.97,43.33,12.41,13.73,113,4.42,0.66,549,4390,2032.46,8.0,2.44,4.46,0.02,3.47,0.99,0.0,9.6,4.51,39,0.0,0.00,4.0,0.236666,3,7,7,2017,2017-07-07
53,BU 1,Machine 1,7618349,0.0,0.03,0.27,29.11,29.22,30.04,55.72,52.25,41.18,3.1,26.61,140,4.51,0.0,629,5034,1409.73,8.0,2.33,3.54,0.03,3.29,0.25,2.78,0.0,7.32,36,3.01,0.02,4.0,0.0,3,7,7,2017,2017-07-07
54,BU 1,Machine 2,2359173,0.0,0.13,0.16,45.61,45.61,49.09,61.85,73.74,25.15,13.0,16.24,240,2.25,0.05,1200,9596,1474.35,8.0,3.65,3.05,0.0,2.01,1.04,0.0,12.14,0.18,40,1.95,0.01,1.0,0.939442,3,7,7,2017,2017-07-07
55,BU 2,Machine 1,1903845,0.0,0.31,0.27,17.43,17.46,18.96,44.92,38.79,24.1,30.97,27.5,605,12.45,0.88,529,4232,2540.35,8.0,1.39,4.41,0.01,1.93,2.48,14.29,27.9,0.91,7,133.565,0.87,1.0,2.081667,3,7,7,2017,2017-07-07
56,BU 2,Machine 3,093K8347,0.03,0.1,0.2,42.87,44.36,48.77,62.62,68.46,27.51,9.86,19.75,432,10.49,2.58,324,2592,1424.38,8.0,3.43,2.99,0.27,2.2,0.79,0.0,4.85,7.3,6,68.13,2.20,5.0,0.084444,3,7,7,2017,2017-07-07
57,BU 2,Machine 3,573N6493,0.0,0.04,0.11,53.72,53.72,54.29,64.93,82.74,31.1,3.97,11.21,522,23.41,2.13,392,3134,2127.20,8.0,4.3,2.81,0.0,2.49,0.32,66.67,3.86,1.72,6,4.6,0.03,5.0,0.078612,3,7,7,2017,2017-07-07
58,BU 2,Machine 3,029P3751,0.0,0.1,0.25,34.91,34.91,36.39,59.99,58.2,29.7,10.31,25.08,256,13.4,3.99,288,2305,1462.63,8.0,2.79,3.2,0.0,2.38,0.83,11.11,8.85,1.97,9,164.12,2.43,5.0,0.110001,3,7,7,2017,2017-07-07
59,BU 2,Machine 3,182L4692,0.0,0.18,0.16,33.34,33.34,33.84,49.53,67.32,32.45,18.02,16.19,217,17.66,5.76,217,1736,2172.21,8.0,2.67,4.04,0.0,2.6,1.44,12.5,17.01,3.8,8,56.235,1.73,5.0,0.548889,3,7,7,2017,2017-07-07
60,BU 2,Machine 3,483D5938,0.0,0.32,0.18,19.41,19.44,20.6,36.98,52.5,30.63,32.39,17.57,409,40.99,0.0,154,1228,1780.93,8.0,1.55,5.04,0.01,2.45,2.59,0.0,28.88,2.76,3,51.26,2.36,5.0,1.178333,3,7,7,2017,2017-07-07
61,BU 2,Machine 2,5392175,0.45,0.5,0.08,30.04,54.68,56.22,38.42,78.2,11.41,50.17,8.37,718,4.35,0.0,1078,8620,1799.47,8.0,2.4,4.93,3.6,0.91,4.01,8.33,3.61,0.52,12,0.0,0.00,11.0,0.0,3,7,7,2017,2017-07-07
62,BU 2,Machine 2,6798354,0.07,0.17,0.25,18.3,19.64,20.38,43.59,41.97,39.5,16.9,25.3,502,15.89,1.2,628,5024,887.65,8.0,1.46,4.51,0.55,3.16,1.35,10.0,6.69,6.4,10,92.67,1.47,11.0,0.064721,3,7,7,2017,2017-07-07
63,BU 2,Machine 2,7481923,0.04,0.26,0.2,25.14,26.26,26.36,45.07,55.78,28.75,26.18,19.93,544,9.86,0.79,952,7618,1149.76,8.0,2.01,4.39,0.34,2.3,2.09,0.0,16.77,4.78,14,131.04,1.64,11.0,0.9575,3,7,7,2017,2017-07-07
64,BU 2,Machine 2,1047583,0.39,0.4,0.13,19.59,32.1,34.75,32.81,59.72,27.64,39.56,13.22,426,10.29,0.0,586,4686,2968.87,8.0,1.57,5.38,3.12,2.21,3.16,0.0,0.0,2.16,11,246.57,1.54,11.0,0.0,3,7,7,2017,2017-07-07
65,BU 2,Machine 2,2938745,0.05,0.35,0.13,22.89,24.18,26.44,35.91,63.76,29.17,34.93,13.01,617,13.36,11.03,540,4320,3791.87,8.0,1.83,5.13,0.43,2.33,2.79,14.29,24.15,8.44,7,21.02,0.12,11.0,0.645279,3,7,7,2017,2017-07-07
66,BU 2,Machine 2,8362719,0.02,0.18,0.14,25.05,25.67,26.23,39.48,63.46,42.26,18.26,14.42,524,16.4,3.46,787,6293,1649.59,8.0,2.0,4.84,0.19,3.38,1.46,8.33,15.01,0.0,12,63.1,0.37,11.0,0.411944,3,7,7,2017,2017-07-07
67,BU 2,Machine 2,5849321,0.02,0.33,0.31,21.86,22.2,22.7,52.67,41.51,14.22,33.11,30.81,539,4.71,8.19,674,5393,2264.07,8.0,1.75,3.79,0.12,1.14,2.65,0.0,30.26,5.66,10,0.0,0.00,11.0,0.946669,3,7,7,2017,2017-07-07
68,BU 2,Machine 2,2948567,0.01,0.23,0.17,23.57,23.7,25.43,40.08,58.81,36.44,23.47,16.51,635,13.5,4.61,793,6347,1563.68,8.0,1.89,4.79,0.04,2.92,1.88,0.0,20.24,4.24,10,8.61,0.05,11.0,0.476668,3,7,7,2017,2017-07-07
69,BU 2,Machine 2,3928471,0.29,0.32,0.18,30.85,43.25,46.4,48.36,63.78,19.9,31.74,17.51,749,5.31,0.0,1218,9743,1177.65,8.0,2.47,4.13,2.29,1.59,2.54,0.0,1.63,4.05,13,54.7,0.42,11.0,0.0,3,7,7,2017,2017-07-07
70,BU 2,Machine 2,1749536,0.1,0.34,0.22,25.67,28.59,28.79,47.36,54.2,18.59,34.05,21.69,544,6.38,0.0,884,7073,1392.81,8.0,2.05,4.21,0.82,1.49,2.72,0.0,18.43,6.06,13,50.27,0.23,11.0,1.023335,3,7,7,2017,2017-07-07
71,BU 2,Machine 2,3826197,0.02,0.12,0.17,27.18,27.65,30.28,44.02,61.73,44.35,11.63,16.85,790,8.96,0.36,1086,8688,1183.53,8.0,2.17,4.48,0.14,3.55,0.93,9.09,3.4,22.5,11,47.735,0.76,11.0,0.029722,3,7,7,2017,2017-07-07
72,BU 1,Machine 1,8492371,0.0,0.23,0.12,38.62,38.62,38.62,50.51,76.45,26.23,23.26,11.89,381,4.82,3.87,1001,8006,1456.87,8.0,3.09,3.96,0.0,2.1,1.86,0.0,17.86,10.51,21,0.0,0.00,4.0,0.057223,1,9,7,2017,2017-07-09
73,BU 1,Machine 1,5816492,0.13,0.34,0.21,28.37,32.48,32.51,49.51,57.3,16.43,34.06,21.14,256,3.51,2.04,673,5385,1046.17,8.0,2.27,4.04,1.01,1.31,2.72,0.0,14.16,8.24,21,0.0,0.00,4.0,0.420555,1,9,7,2017,2017-07-09
74,BU 1,Machine 1,0923745,0.0,0.07,0.25,30.55,30.55,30.59,55.53,55.02,37.94,6.53,24.98,262,8.65,0.12,556,4450,1616.04,8.0,2.44,3.56,0.0,3.03,0.52,0.0,5.12,8.59,17,0.0,0.00,4.0,0.081945,1,9,7,2017,2017-07-09
75,BU 1,Machine 1,7618349,0.0,0.08,0.14,54.55,54.55,54.74,68.7,79.4,23.5,7.79,14.15,396,4.37,0.34,1138,9106,1296.41,8.0,4.36,2.5,0.0,1.88,0.62,0.0,2.58,7.43,23,6.74,0.07,4.0,0.056111,1,9,7,2017,2017-07-09
76,BU 1,Machine 2,2359173,0.0,0.21,0.16,26.38,26.38,26.5,41.89,62.96,37.26,20.85,15.51,288,8.33,1.64,757,6053,763.06,8.0,2.11,4.65,0.0,2.98,1.67,0.0,9.83,11.38,21,3.51,0.05,1.0,0.21361,1,9,7,2017,2017-07-09
77,BU 2,Machine 1,1903845,0.02,0.13,0.25,27.0,27.45,29.19,51.74,52.18,35.67,12.6,24.74,557,9.48,3.64,904,7235,1679.88,8.0,2.16,3.86,0.13,2.85,1.01,7.69,10.43,4.64,13,92.215,0.64,1.0,0.014167,1,9,7,2017,2017-07-09
78,BU 2,Machine 3,093K8347,0.02,0.14,0.17,31.24,31.85,31.89,48.72,64.12,37.17,14.11,17.48,287,22.95,1.52,251,2011,1153.54,8.0,2.5,4.1,0.15,2.97,1.13,14.29,10.05,5.72,7,32.64,0.94,5.0,0.600833,1,9,7,2017,2017-07-09
79,BU 2,Machine 3,573N6493,0.0,0.04,0.13,42.88,42.88,47.12,55.51,77.25,40.38,4.11,12.63,318,13.47,0.79,278,2227,2196.16,8.0,3.43,3.56,0.0,3.23,0.33,14.29,2.85,13.0,7,13.915,0.22,5.0,0.046389,1,9,7,2017,2017-07-09
80,BU 2,Machine 3,029P3751,0.0,0.17,0.34,28.73,28.73,28.75,62.86,45.71,19.84,17.3,34.12,675,22.03,3.51,338,2701,628.90,8.0,2.3,2.97,0.0,1.59,1.38,25.0,16.89,1.84,4,0.0,0.00,5.0,0.0,1,9,7,2017,2017-07-09
81,BU 2,Machine 3,182L4692,0.11,0.27,0.22,41.17,46.02,46.43,62.92,65.44,10.37,26.71,21.75,484,10.65,9.01,242,1934,2287.15,8.0,3.29,2.97,0.84,0.83,2.14,0.0,15.4,1.5,4,37.275,1.03,5.0,0.63111,1,9,7,2017,2017-07-09
82,BU 2,Machine 3,483D5938,0.11,0.16,0.36,38.96,43.81,43.81,74.53,52.27,9.26,16.21,35.58,421,6.88,2.38,316,2528,1822.71,8.0,3.12,2.04,0.89,0.74,1.3,16.67,4.21,1.59,6,71.56,1.34,5.0,0.098611,1,9,7,2017,2017-07-09
83,BU 2,Machine 2,5392175,0.01,0.24,0.25,23.29,23.64,23.91,48.7,47.83,27.25,24.05,25.41,514,10.9,1.33,770,6162,1242.24,8.0,1.86,4.1,0.12,2.18,1.92,0.0,20.82,1.05,12,31.555,0.39,11.0,0.2375,1,9,7,2017,2017-07-09
84,BU 2,Machine 2,6798354,0.01,0.31,0.14,24.82,25.09,26.98,38.67,64.19,30.52,30.82,13.85,574,8.84,5.38,789,6315,1529.57,8.0,1.99,4.91,0.09,2.44,2.47,9.09,17.48,15.66,11,84.345,0.49,11.0,0.22611,1,9,7,2017,2017-07-09
85,BU 2,Machine 2,7481923,0.0,0.23,0.24,35.55,35.55,35.58,59.56,59.68,17.87,22.57,24.01,821,5.61,2.18,1436,11488,1007.36,8.0,2.84,3.24,0.0,1.43,1.81,0.0,22.16,1.91,14,87.08,0.73,11.0,1.153611,1,9,7,2017,2017-07-09
86,BU 2,Machine 2,1047583,0.07,0.24,0.27,32.57,35.08,35.13,59.28,54.95,16.8,23.92,26.71,1014,6.11,5.17,1395,11158,786.20,8.0,2.61,3.26,0.57,1.34,1.91,0.0,14.93,4.62,11,63.185,0.72,11.0,0.056666,1,9,7,2017,2017-07-09
